# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 12587cfe3d830c41
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_8bit,gld_inst_16bit,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
125a3923fec67600,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1394.37,4.056,0.667,15,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,70560,0,0,0,0,7680,0,0,5818,6444,496,32,2852,590,2,5771,29232,349,5093,320,2032,136,339819,438,337660,0,64,32,1024,0,31259875,976416,24636,0,16232,57965,15400,0,0,4945480,47932,15400
125a3923fedc23a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1394.69,4.243,0.667,16,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,75264,0,0,0,0,8192,0,0,5818,6444,496,32,2852,590,2,5736,29232,450,5086,320,2045,75,339162,503,337660,0,64,32,1024,0,31275629,973206,27424,0,20200,55487,19804,0,0,4945480,60269,19804
125a3923fef1d5a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1397.18,4.138,0.667,17,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,79968,0,0,0,0,8704,0,0,5818,6444,496,32,2852,590,2,5511,29232,451,5162,320,1999,73,339281,500,337660,0,64,32,1024,0,31313837,982565,31268,0,26176,62219,24720,0,0,4945480,62750,24720
125a3923ff078c40,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1401.92,3.966,0.667,18,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,84672,0,0,0,0,9216,0,0,5818,6444,496,32,2852,590,2,5888,29232,340,5043,320,2078,71,339166,501,337660,0,64,32,1024,0,31119019,977692,31888,0,24396,63984,24080,0,0,4945480,64004,24080
125a3923ff1d5e20,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1395.42,4.27,0.667,19,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,89376,0,0,0,0,9728,0,0,5818,6444,496,32,2852,590,2,5766,29232,349,5065,320,2093,71,339204,502,337660,0,64,32,1024,0,31221815,973266,35043,0,30512,66160,28024,0,0,4945480,64496,28024
125a3923ff330e80,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1404.19,4.078,0.667,20,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,94080,0,0,0,0,10240,0,0,5818,6444,496,32,2852,590,2,5727,29232,348,5063,320,2097,59,339256,511,337660,0,64,32,1024,0,31298504,977449,38963,0,34632,64357,32528,0,0,4945480,68809,32528
125a3923ff48e2a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1420.32,4.165,0.667,21,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,98784,0,0,0,0,10752,0,0,5818,6444,496,32,2852,590,2,5767,29232,344,5037,320,2112,60,339383,505,337660,0,64,32,1024,0,31296963,973030,40741,0,39536,71086,36632,0,0,4945480,67331,36632
125a3923ff5ef2a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1414.27,4.014,0.667,22,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,103488,0,0,0,0,11264,0,0,5818,6444,496,32,2852,590,2,5877,29232,344,5003,320,2014,73,339225,501,337660,0,64,32,1024,0,31282132,978395,43378,0,43088,68663,41140,0,0,4945480,73506,41140
125a3923ff74ed60,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1403.42,4.056,0.667,23,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,108192,0,0,0,0,11776,0,0,5818,6444,496,32,2852,590,2,5564,29232,348,5092,320,2114,72,339120,501,337660,0,64,32,1024,0,31127129,973442,48722,0,47380,75340,45908,0,0,4945480,75378,45908
125a3923ff8abe20,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1413.76,4.228,0.667,24,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,112896,0,0,0,0,12288,0,0,5818,6444,496,32,2852,590,2,5736,29232,514,5102,320,2063,76,339265,501,337660,0,64,32,1024,0,31335464,984051,49673,0,52164,77667,47644,0,0,4945480,71017,47644
