# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1257111b6672af38
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,sm_cta_launched,l1_shared_bank_conflict,divergent_branch
12586de2e0c92940,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1352.77,4.084,0.667,8,1,1,32,16,1,21200,0,32,0,-1,,0,14696,1,0,160
12586de2e0de7ba0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1352.93,4.844,0.667,7,1,1,32,16,1,21200,0,32,0,-1,,0,14696,1,0,160
12586de2e0f38f20,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.02,4.267,0.667,6,1,1,32,16,1,21200,0,32,0,-1,,0,14696,1,0,160
12586de2e1089be0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1352.51,4.017,0.667,5,1,1,32,16,1,21200,0,32,0,-1,,0,14696,1,0,160
12586de2e12034e0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1364.38,4.059,0.667,4,1,1,32,16,1,21200,0,32,0,-1,,0,14696,1,0,160
12586de2e13669c0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1363.04,4.658,0.667,3,1,1,32,16,1,21200,0,32,0,-1,,0,14696,1,0,160
12586de2e14ba8c0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1362.14,4.748,0.667,2,1,1,32,16,1,21200,0,32,0,-1,,0,14696,1,0,160
12586de2e160d8a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1350.4,4.321,0.333,1,1,1,32,16,1,21200,0,32,0,-1,,0,14696,1,0,160
12586de2e17734a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1352.45,5.464,0.333,1,1,1,32,16,1,21200,0,32,1,-1,,0,14616,1,0,160
12586de2e18c42e0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1351.55,4.153,0.667,2,1,1,32,16,1,21200,0,32,1,-1,,0,14616,1,0,160
12586de2e1a14f40,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1352.03,4.315,0.667,3,1,1,32,16,1,21200,0,32,1,-1,,0,14616,1,0,160
12586de2e1b65800,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.95,4.102,0.667,4,1,1,32,16,1,21200,0,32,1,-1,,0,14616,1,0,160
12586de2e1cb6760,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.76,3.99,0.667,5,1,1,32,16,1,21200,0,32,1,-1,,0,14616,1,0,160
12586de2e1e075c0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.82,4.093,0.667,6,1,1,32,16,1,21200,0,32,1,-1,,0,14616,1,0,160
12586de2e1f584a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.66,4.078,0.667,7,1,1,32,16,1,21200,0,32,1,-1,,0,14616,1,0,160
12586de2e20a9420,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.41,4.408,0.667,8,1,1,32,16,1,21200,0,32,1,-1,,0,14616,1,0,160
12586de2e21fa460,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.31,4.192,0.667,9,1,1,32,16,1,21200,0,32,1,-1,,0,14616,1,0,160
12586de2e234b1e0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1354.02,4.117,0.667,10,1,1,32,16,1,21200,0,32,1,-1,,0,14616,1,0,160
12586de2e249c1c0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1354.53,4.053,0.667,11,1,1,32,16,1,21200,0,32,1,-1,,0,14616,1,0,160
12586de2e2606ac0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1356.96,4.808,0.667,12,1,1,32,16,1,21200,0,32,1,-1,,0,14616,1,0,160
12586de2e2758720,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1357.79,4.035,0.667,13,1,1,32,16,1,21200,0,32,1,-1,,0,14616,1,0,160
12586de2e28aa5e0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1359.68,4.068,0.667,14,1,1,32,16,1,21200,0,32,1,-1,,0,14616,1,0,160
12586de2e29fcd00,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1409.28,4.117,0.667,15,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e2b5b560,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1417.54,4.369,0.667,16,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e2cbc580,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1419.49,4.538,0.667,17,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e2e1d680,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1420.19,4.075,0.667,18,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e2f7e920,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1415.07,4.02,0.667,19,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e30de680,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1422.27,4.044,0.667,20,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e3240140,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1424.38,3.942,0.667,21,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e33a2460,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1421.76,4.05,0.667,22,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e3503d60,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1420.93,4.099,0.667,23,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e36657a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1420,4.532,0.667,24,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e37c6ca0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1426.46,4.141,0.667,25,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e3929760,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1423.97,4.186,0.667,26,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e3a8b980,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1425.76,4.065,0.667,27,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
12586de2e3bee1c0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1428.67,4.096,0.667,28,1,1,32,16,1,21200,0,32,1,-1,,0,29232,2,0,320
